word_index,emoji,unicode_codepoint
490,╴,U+2574
491,╵,U+2575
492,╶,U+2576
493,╷,U+2577
494,╸,U+2578
495,╹,U+2579
496,╺,U+257A
497,╻,U+257B
498,╼,U+257C
499,╽,U+257D
500,╾,U+257E
501,╿,U+257F
502,▀,U+2580
503,▁,U+2581
504,▂,U+2582
505,▃,U+2583
506,▄,U+2584
507,▅,U+2585
508,▆,U+2586
509,▇,U+2587
510,█,U+2588
511,▉,U+2589
512,▊,U+258A
513,▋,U+258B
514,▌,U+258C
515,▍,U+258D
516,▎,U+258E
517,▏,U+258F
518,▐,U+2590
519,░,U+2591
520,▒,U+2592
521,▓,U+2593
522,▔,U+2594
523,▕,U+2595
524,▖,U+2596
525,▗,U+2597
526,▘,U+2598
527,▙,U+2599
528,▚,U+259A
529,▛,U+259B
530,▜,U+259C
531,▝,U+259D
532,▞,U+259E
533,▟,U+259F
534,■,U+25A0
535,□,U+25A1
536,▢,U+25A2
537,▣,U+25A3
538,▤,U+25A4
539,▥,U+25A5
540,▦,U+25A6
541,▧,U+25A7
542,▨,U+25A8
543,▩,U+25A9
544,▪,U+25AA
545,▫,U+25AB
546,▬,U+25AC
547,▭,U+25AD
548,▮,U+25AE
549,▯,U+25AF
550,▰,U+25B0
551,▱,U+25B1
552,▲,U+25B2
553,△,U+25B3
554,▴,U+25B4
555,▵,U+25B5
556,▶,U+25B6
557,▷,U+25B7
558,▸,U+25B8
559,▹,U+25B9
560,►,U+25BA
561,▻,U+25BB
562,▼,U+25BC
563,▽,U+25BD
564,▾,U+25BE
565,▿,U+25BF
566,◀,U+25C0
567,◁,U+25C1
568,◂,U+25C2
569,◃,U+25C3
570,◄,U+25C4
571,◅,U+25C5
572,◆,U+25C6
573,◇,U+25C7
574,◈,U+25C8
575,◉,U+25C9
576,◊,U+25CA
577,○,U+25CB
578,◌,U+25CC
579,◍,U+25CD
580,◎,U+25CE
581,●,U+25CF
582,◐,U+25D0
583,◑,U+25D1
584,◒,U+25D2
585,◓,U+25D3
586,◔,U+25D4
587,◕,U+25D5
588,◖,U+25D6
589,◗,U+25D7
590,◘,U+25D8
591,◙,U+25D9
592,◚,U+25DA
593,◛,U+25DB
594,◜,U+25DC
595,◝,U+25DD
596,◞,U+25DE
597,◟,U+25DF
598,◠,U+25E0
599,◡,U+25E1
600,◢,U+25E2
601,◣,U+25E3
602,◤,U+25E4
603,◥,U+25E5
604,◦,U+25E6
605,◧,U+25E7
606,◨,U+25E8
607,◩,U+25E9
608,◪,U+25EA
609,◫,U+25EB
610,◬,U+25EC
611,◭,U+25ED
612,◮,U+25EE
613,◯,U+25EF
614,◰,U+25F0
615,◱,U+25F1
616,◲,U+25F2
617,◳,U+25F3
618,◴,U+25F4
619,◵,U+25F5
620,◶,U+25F6
621,◷,U+25F7
622,◸,U+25F8
623,◹,U+25F9
624,◺,U+25FA
625,◻,U+25FB
626,◼,U+25FC
627,◽,U+25FD
628,◾,U+25FE
629,◿,U+25FF
630,☀,U+2600
631,☁,U+2601
632,☂,U+2602
633,☃,U+2603
634,☄,U+2604
635,★,U+2605
636,☆,U+2606
637,☇,U+2607
638,☈,U+2608
639,☉,U+2609
640,☊,U+260A
641,☋,U+260B
642,☌,U+260C
643,☍,U+260D
644,☎,U+260E
